HOSTNAME;ITEM NAME;DESCRIPTION;PID;VID;SN
z-aggr-sw;1;WS-C2960G-24TC-L;WS-C2960G-24TC-L;V04;FOC1335V2QJ
z-core-r-1;Chassis;Cisco;ASR1001-X;V02;FXS2017Q2RY
z-core-r-1;;;ASR1001-X-PWR-AC;V01;LIT2032296C
z-core-r-1;;;ASR1001-X-PWR-AC;V01;LIT203229NU
z-core-r-1;;;SFP-10G-SR;A;SG6H750042
z-core-r-1;;;SFP-10G-SR;A;SG6H750037
z-core-r-1;;;SFP-GE-T;B;TF77650419
z-core-r-1;;;SFP-GE-T;B;TF77650332
z-core-r-1;;;SFP-GE-T;B;TF77650336
z-core-r-1;;;SFP-GE-T;B;TF77650330
z-core-r-1;;;SP7041-E;E;MTC171608DK
z-core-r-1;;;ASR1001-X;V02;JAE203508SJ
z-core-sw-1;Chassis;Nexus9000;;;
z-dmz-sw;1;WS-C2960X-48TD-L;WS-C2960X-48TD-L;V03;FCW1904A1KS
z-dmz-sw;;;C2960X-STACK;V02;FOC20350QQ8
z-dmz-sw;TenGigabitEthernet1/0/1;SFP-10G-DWDM-3661;DWDM-SFP10G-36.61;V01;1536.61+ZRM6U004
z-dmz-sw;2;WS-C2960X-48TD-L;WS-C2960X-48TD-L;V05;FCW2024A1W8
z-dmz-sw;;;C2960X-STACK;V02;FOC20350SGA
z-dmz-sw;TenGigabitEthernet2/0/1;SFP-10G-DWDM-3661;DWDM-SFP10G-36.61;V01;1536.61+ZRM6U003
z-ilo-r;;;CISCO1841;V03;FCZ103421JE
z-ilo-r;;;CISCO1841;6.0;FCZ103421JE
z-intradmz-sw;1;WS-C2960G-24TC-L;WS-C2960G-24TC-L;V07;FOC1617V29D
z-voice-sw;1;WS-C2960X-48TD-L;WS-C2960X-48TD-L;V03;FCW1904A1JX
