HOSTNAME;ITEM NAME;DESCRIPTION;PID;VID;SN
rd1.38;1;WS-C3750-48P;WS-C3750-48PS-E;V06;FDO1223Y2S4
rd1.38;GigabitEthernet1/0/3;1000BaseSX;Unspecified; ;FNS12160H6D
rd1.38;GigabitEthernet1/0/4;1000BaseSX;Unspecified; ;FNS12160H88
rd1.38;2;WS-C3750-48P;WS-C3750-48PS-E;V06;FDO1223Y2U3
rd1.38;GigabitEthernet2/0/1;1000BaseLX;Unspecified; ;OP50L3350
rd1.38;GigabitEthernet2/0/3;1000BaseSX;Unspecified; ;FNS12160H7V
rd1.38;GigabitEthernet2/0/4;1000BaseSX;Unspecified; ;FNS12160YWN
switch-new.1pp;1;WS-C3750V2-24PS;WS-C3750V2-24PS-E;V08;FDO1809Y09E
switch-new.1pp;GigabitEthernet1/0/1;1000BaseSX;Unspecified; ;FNS1137S212
switch-new.1pp;GigabitEthernet1/0/2;1000BaseSX;Unspecified; ;FNS1137S217
switch-new.3np;2;WS-C3750V2-48PS;WS-C3750V2-48PS-E;V09;FDO1812Y14R
switch-new.3np;GigabitEthernet2/0/1;1000BaseSX;Unspecified; ;FNS1137S224
switch-new.3np;GigabitEthernet2/0/2;1000BaseSX;Unspecified; ;FNS10251796
switch-new.3np;GigabitEthernet2/0/4;1000BaseSX;Unspecified; ;FNS1137S214
switch-new.3np;1;WS-C3750V2-24PS;WS-C3750V2-24PS-E;V08;FDO1809Y09Y
switch-new.3np;GigabitEthernet1/0/1;1000BaseSX;Unspecified; ;FNS1137S211
switch-new.3np;GigabitEthernet1/0/2;1000BaseSX;Unspecified; ;FNS10251795
switch-new.4np;1;WS-C3750V2-48PS;WS-C3750V2-48PS-E;V09;FDO1812Y16K
switch-new.4np;GigabitEthernet1/0/1;1000BaseSX;Unspecified; ;FNS1137S215
switch-new.4np;GigabitEthernet1/0/4;1000BaseSX;Unspecified; ;FNS1137S213
switch-new.5np;1;WS-C3750V2-48PS;WS-C3750V2-48PS-E;V09;FDO1812Y164
switch-new.5np;GigabitEthernet1/0/1;1000BaseSX;Unspecified; ;FNS1137S218
switch-new.5np;GigabitEthernet1/0/2;10/100/1000BaseTX;GLC-T;V04;144600025
switch-new.5np;GigabitEthernet1/0/4;1000BaseSX;Unspecified; ;FNS1137S216
switch0.16;2;WS-C3750-48P;WS-C3750-48PS-E;V06;FDO1223Y2VT
switch0.16;GigabitEthernet2/0/3;1000BaseSX;Unspecified; ;FNS12160H6N
switch0.16;GigabitEthernet2/0/4;1000BaseSX;Unspecified; ;FNS12160H77
switch0.22;1;WS-C3750-48P;WS-C3750-48PS-E;V06;FDO1223Y2U4
switch0.22;GigabitEthernet1/0/3;1000BaseSX;Unspecified; ;FNS121704GD
switch0.22;GigabitEthernet1/0/4;1000BaseSX;Unspecified; ;FNS12160H6Q
switch0.22;2;WS-C3750-48P;WS-C3750-48PS-E;V06;FDO1223Y2VP
switch0.22;GigabitEthernet2/0/3;1000BaseSX;Unspecified; ;FNS12160H57
switch0.22;GigabitEthernet2/0/4;1000BaseSX;Unspecified; ;FNS121704RU
switch1.03;1;WS-C3750-48P;WS-C3750-48PS-E;V06;FDO1223Y30M
switch1.03;GigabitEthernet1/0/3;1000BaseSX;Unspecified; ;FNS121610H4
switch1.03;GigabitEthernet1/0/4;1000BaseSX;Unspecified; ;FNS12150XKQ
